商品ID,品牌,描述,价格,销量,地区
1,小米,MIUI/小米 小米手机4 小米4代 MI4智能4G手机包邮 黑色 D-LTE（4G）/TD-SCD,2100.00,10,深圳
2,Apple,苹果（Apple）iPhone 6 Plus (A1524)移动联通电信4G手机 金色 16G,6800.0,35,成都
3,Samsung,Samsung/三星 SM-G8508S GALAXY Alpha四核智能手机 新品 闪耀白,3888.00,4,杭州
4,华为,Huawei/华为 H60-L01 荣耀6 移动4G版智能手机 安卓,1999.00,4,深圳
5,Meizu,Meizu/魅族 MX4 Pro移动版 八核大屏智能手机 黑色 16G,2499.00,10,广州
6,vivo,vivo X5MAX L 移动4G 八核超薄大屏5.5吋双卡手机vivoX5max,2998.90,1,成都
13,惠普,惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499.00,66,广州
14,华为,华为HUAWEI MateBook 14 2020款全面屏轻薄性能笔记本电脑 十代酷睿(i7 16G 512G MX350 触控屏 多屏协同)银,7388.00,12,重庆
15,华为,华为HUAWEI MateBook 14 2020款全面屏轻薄笔记本电脑 十代酷睿(i5 16G 512G MX350 触控屏 多屏协同)灰,6399.00,382,南京
16,华为,华为HUAWEI MateBook 14 2020款全面屏轻薄性能笔记本电脑 十代酷睿(i5 8G 512G MX250 office 多屏协同)银,5888.00,621,广州
20,华为,华为HUAWEI MateBook 14 2020款全面屏轻薄性能笔记本电脑 十代酷睿(i7 16G 512G MX350 触控屏 多屏协同)灰,7388.00,685,武汉
21,华为,华为HUAWEI MateBook 14 2020款全面屏轻薄笔记本电脑 十代酷睿(i5 16G 512G MX350 触控屏 多屏协同)银,6388.00,345,深圳
22,惠普,惠普（HP）战66 三代 14英寸轻薄笔记本电脑（i5-10210U 8G 512G PCIe MX250 2G 一年上门+意外 3年保修）,5199.00,714,深圳
23,红米,RedmiBook 14 锐龙版 全金属超轻薄(AMD Ryzen R5-3500U 8G 512G PCIe 全高清）银 游戏笔记本电脑 小米 红米,3699.00,195,重庆
24,红米,RedmiBook 16 锐龙版 超轻薄全面屏(6核R5-4500U 16G 512G 100% sRGB高色域)灰 手提 笔记本电脑 小米 红米,3999.00,204,北京
26,联想,联想ThinkPad E14 锐龙版（1TCD）14英寸轻薄笔记本电脑（锐龙5-4500U 16G 512GSSD IPS高分屏）黑色,4499.00,560,北京
27,惠普,惠普（HP）战66 三代 14英寸轻薄笔记本电脑（i5-10210U 8G 512G  MX250 2G 高色域 一年上门+意外 2年电池）,5599.00,71,北京
28,华为,华为(HUAWEI) MateBook D 14英寸全面屏轻薄笔记本电脑便携超级快充(AMD锐龙5 3500U 16+512GB)银,4099.00,335,武汉
29,华硕,华硕（ASUS）破晓7 2020款 英特尔酷睿15.6英寸商务轻薄本笔记本电脑 i5预装Office 银灰色 英特尔酷睿i5 16G 512G固态 2G独显,4299.00,385,武汉
30,戴尔,戴尔DELL灵越5000fit 14英寸英特尔酷睿i5轻薄窄边框笔记本电脑(十代i5-10210U 8G 512G MX250 2G 2年整机)银,5599.00,21,重庆
31,小米,小米 (MI)Ruby 15.6英寸 网课 学习轻薄笔记本电脑(英特尔酷睿i5-8250U 8G 512G SSD 2G GDDR5独显 FHD 全键盘 Office Win10) 深空灰 电脑,4299.00,177,南京
32,华硕,华硕(ASUS) 灵耀X2 Duo 英特尔酷睿i7 14英寸双屏设计轻薄笔记本电脑(i7-10510U 16GB 1TSSD 双屏技术)翡翠玉,10999.00,186,武汉
33,华硕,华硕(ASUS) 灵耀14 英特尔酷睿i7 14.0英寸轻薄笔记本电脑(i7-1065G7 16G 512GSSD 100%sRGB 人脸识别)松木青,7199.00,45,深圳
34,荣耀,荣耀MagicBook Pro Win10 16.1英寸全面屏轻薄性能笔记本电脑（标压锐龙R7 3750H 16G 512G 100%sRGB）冰河银,4899.00,618,武汉
35,荣耀,荣耀MagicBook Pro Win10 16.1英寸全面屏轻薄性能笔记本电脑（标压锐龙R5 3550H 8G 512G 100%sRGB）冰河银,3999.00,88,北京
36,荣耀,荣耀笔记本电脑MagicBook 14 14英寸全面屏轻薄本（AMD锐龙R5 3500U 8G 512G 多屏协同 指纹Win10）银,3899.00,753,成都
37,华为,华为(HUAWEI)MateBook D 14全面屏轻薄笔记本电脑多屏协同便携超级快充(i5-10210U 16G+512G 独显)银,5499.00,188,上海
38,Apple,Apple 2020新款 MacBook Air 13.3 Retina屏 十代i3 8G 256G SSD 深空灰 笔记本电脑 轻薄本 MWTJ2CH/A,7799.00,183,西安
39,华为,华为(HUAWEI)MateBook 13 2020款 锐龙版 全面屏轻薄笔记本电脑 (AMD R5 16+512GB 集显 Office 2K )银,4599.00,867,深圳
40,华为,华为(HUAWEI)MateBook 13 2020款 锐龙版 全面屏轻薄笔记本电脑 (AMD R5 16+512GB 集显 Office 2K )灰,4599.00,782,广州
41,华为,华为(HUAWEI) MateBook D 14英寸全面屏轻薄笔记本电脑便携超级快充(AMD锐龙5 3500U 16+512GB)灰,4099.00,252,上海
42,红米,RedmiBook 14 增强版 全金属超轻薄(第十代英特尔酷睿i5-10210U 8G 512G SSD MX250 2G独显 支持手环疾速解锁)游戏 银 手提 笔记本电脑 小米 红米,3959.00,797,成都
43,红米,RedmiBook 14 增强版 全金属超轻薄(第十代英特尔酷睿i7-10510U 8G 512G SSD MX250 2G独显 手环疾速解锁 Office)银色 手提 笔记本电脑,4659.00,315,深圳
44,宏碁,宏碁 传奇 14英寸 7nm六核处理器 轻薄本 全功能Type-C 金属机身 笔记本电脑(R5-4500U 7纳米 16G 512GSSD ),3988.00,819,深圳
45,戴尔,戴尔DELL灵越7000-7591英特尔酷睿i7 15.6英寸 高色域 全面屏 高性能 创意 设计师 戴尔电脑 轻薄本 笔记本电脑(i7-9750H 8G 512G GTX1650 2年全智),7799.00,959,北京
46,惠普,惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499.00,383,成都
47,华为,华为HUAWEI MateBook 14 2020款全面屏轻薄性能笔记本电脑 十代酷睿(i7 16G 512G MX350 触控屏 多屏协同)银,7388.00,521,成都
48,华为,华为HUAWEI MateBook 14 2020款全面屏轻薄笔记本电脑 十代酷睿(i5 16G 512G MX350 触控屏 多屏协同)灰,6399.00,362,成都
49,华为,华为HUAWEI MateBook 14 2020款全面屏轻薄性能笔记本电脑 十代酷睿(i5 8G 512G MX250 office 多屏协同)银,5888.00,20,西安
50,华为,华为HUAWEI MateBook 14 2020款全面屏轻薄性能笔记本电脑 十代酷睿(i7 16G 512G MX350 触控屏 多屏协同)灰,7388.00,515,成都
51,华为,华为HUAWEI MateBook 14 2020款全面屏轻薄笔记本电脑 十代酷睿(i5 16G 512G MX350 触控屏 多屏协同)银,6388.00,319,广州
52,惠普,惠普（HP）战66 三代 14英寸轻薄笔记本电脑（i5-10210U 8G 512G PCIe MX250 2G 一年上门+意外 3年保修）,5199.00,622,广州
53,红米,RedmiBook 14 锐龙版 全金属超轻薄(AMD Ryzen R5-3500U 8G 512G PCIe 全高清）银 游戏笔记本电脑 小米 红米,3699.00,993,成都
54,红米,RedmiBook 16 锐龙版 超轻薄全面屏(6核R5-4500U 16G 512G 100% sRGB高色域)灰 手提 笔记本电脑 小米 红米,3999.00,870,北京
56,联想,联想ThinkPad E14 锐龙版（1TCD）14英寸轻薄笔记本电脑（锐龙5-4500U 16G 512GSSD IPS高分屏）黑色,4499.00,561,成都
57,惠普,惠普（HP）战66 三代 14英寸轻薄笔记本电脑（i5-10210U 8G 512G  MX250 2G 高色域 一年上门+意外 2年电池）,5599.00,996,成都
58,华为,华为(HUAWEI) MateBook D 14英寸全面屏轻薄笔记本电脑便携超级快充(AMD锐龙5 3500U 16+512GB)银,4099.00,206,上海
59,华硕,华硕（ASUS）破晓7 2020款 英特尔酷睿15.6英寸商务轻薄本笔记本电脑 i5预装Office 银灰色 英特尔酷睿i5 16G 512G固态 2G独显,4299.00,726,北京
60,戴尔,戴尔DELL灵越5000fit 14英寸英特尔酷睿i5轻薄窄边框笔记本电脑(十代i5-10210U 8G 512G MX250 2G 2年整机)银,5599.00,288,上海
61,小米,小米 (MI)Ruby 15.6英寸 网课 学习轻薄笔记本电脑(英特尔酷睿i5-8250U 8G 512G SSD 2G GDDR5独显 FHD 全键盘 Office Win10) 深空灰 电脑,4299.00,273,广州
62,华硕,华硕(ASUS) 灵耀X2 Duo 英特尔酷睿i7 14英寸双屏设计轻薄笔记本电脑(i7-10510U 16GB 1TSSD 双屏技术)翡翠玉,10999.00,387,深圳
63,华硕,华硕(ASUS) 灵耀14 英特尔酷睿i7 14.0英寸轻薄笔记本电脑(i7-1065G7 16G 512GSSD 100%sRGB 人脸识别)松木青,7199.00,150,广州
64,荣耀,荣耀MagicBook Pro Win10 16.1英寸全面屏轻薄性能笔记本电脑（标压锐龙R7 3750H 16G 512G 100%sRGB）冰河银,4899.00,556,南京
65,荣耀,荣耀MagicBook Pro Win10 16.1英寸全面屏轻薄性能笔记本电脑（标压锐龙R5 3550H 8G 512G 100%sRGB）冰河银,3999.00,537,北京
66,荣耀,荣耀笔记本电脑MagicBook 14 14英寸全面屏轻薄本（AMD锐龙R5 3500U 8G 512G 多屏协同 指纹Win10）银,3899.00,149,上海
